locusregion,locuscity,Old City Code,Apartment,Homestay,Hostel,Villa,Cottage
111,CTHYDERA,HYD,Parking,Parking,Swimming Pool,TV,TV
111,CTHYDERA,HYD,Power Backup,TV,Mineral Water,Washing Machine,Washing Machine
RGCCU,CTCCU,CCU,Caretaker,Caretaker,AC,Swimming Pool,Swimming Pool
RGCCU,CTCCU,CCU,Kitchen,Kitchen,Wifi,Caretaker,Caretaker
RGCCU,CTCCU,CCU,AC,AC,Living Room,AC,AC
RGCCU,CTCCU,CCU,Wifi,Wifi,Kitchen,Kitchen,Kitchen
RGCCU,CTCCU,CCU,Lift/Elevator,Living Room,Café,Wifi,Wifi
RGCCU,CTCCU,CCU,TV,Balcony/Terrace,Parking,Balcony/Terrace,Balcony/Terrace
RGCCU,CTCCU,CCU,Parking,Parking,Swimming Pool,TV,TV
RGCCU,CTCCU,CCU,Power Backup,TV,Mineral Water,Washing Machine,Washing Machine
111,CTXMN,XMN,Kitchen,Caretaker,Wifi,Swimming Pool,Swimming Pool
111,CTXMN,XMN,Caretaker,Wifi,Bonfire,Caretaker,Caretaker
111,CTXMN,XMN,Living Room,Kitchen,Living Room,Wifi,Wifi
111,CTXMN,XMN,Balcony/Terrace,Living Room,Kitchen,Kitchen,Kitchen
111,CTXMN,XMN,TV,Balcony/Terrace,Parking,Bonfire/Fireplace,Bonfire/Fireplace
111,CTXMN,XMN,Wifi,Parking,Washing Machine,Balcony/Terrace,Balcony/Terrace
111,CTXMN,XMN,Parking,TV,Café,TV,TV
111,CTXMN,XMN,Lift/Elevator,Lawn,Indoor Games,Washing Machine,Washing Machine
RGJAI,CTJAI,JAI,AC,Caretaker,AC,Swimming Pool,Swimming Pool
RGJAI,CTJAI,JAI,Caretaker,Kitchen,Wifi,Caretaker,Caretaker
RGJAI,CTJAI,JAI,Kitchen,AC,Living Room,AC,AC
RGJAI,CTJAI,JAI,Living Room,Living Room,Kitchen,Kitchen,Kitchen
RGJAI,CTJAI,JAI,Balcony/Terrace,Wifi,Swimming Pool,Wifi,Wifi
RGJAI,CTJAI,JAI,Wifi,Balcony/Terrace,Parking,Balcony/Terrace,Balcony/Terrace
RGJAI,CTJAI,JAI,Lift/Elevator,Parking,Washing Machine,TV,TV
RGJAI,CTJAI,JAI,Swimming Pool,TV,Café,Washing Machine,Washing Machine
RGXNT,CTXNT,XNT,Kitchen,Caretaker,Wifi,Swimming Pool,Swimming Pool
RGXNT,CTXNT,XNT,Caretaker,Wifi,Bonfire,Caretaker,Caretaker
RGXNT,CTXNT,XNT,Living Room,Kitchen,Living Room,Wifi,Wifi
RGXNT,CTXNT,XNT,Balcony/Terrace,Living Room,Kitchen,Kitchen,Kitchen
RGXNT,CTXNT,XNT,TV,Balcony/Terrace,Parking,Bonfire/Fireplace,Bonfire/Fireplace
RGXNT,CTXNT,XNT,Wifi,Parking,Washing Machine,Balcony/Terrace,Balcony/Terrace
RGXNT,CTXNT,XNT,Parking,TV,Café,TV,TV
RGXNT,CTXNT,XNT,Lift/Elevator,Lawn,Indoor Games,Washing Machine,Washing Machine
RGPNQ,CTPNQ,PNQ,Caretaker,Caretaker,AC,Swimming Pool,Swimming Pool
RGPNQ,CTPNQ,PNQ,Kitchen,Kitchen,Wifi,Caretaker,Caretaker
RGPNQ,CTPNQ,PNQ,AC,AC,Living Room,AC,AC
RGPNQ,CTPNQ,PNQ,Wifi,Wifi,Kitchen,Kitchen,Kitchen
RGPNQ,CTPNQ,PNQ,Lift/Elevator,Living Room,Café,Wifi,Wifi
RGPNQ,CTPNQ,PNQ,TV,Balcony/Terrace,Parking,Balcony/Terrace,Balcony/Terrace
RGPNQ,CTPNQ,PNQ,Parking,Parking,Swimming Pool,TV,TV
RGPNQ,CTPNQ,PNQ,Power Backup,TV,Mineral Water,Washing Machine,Washing Machine
RGUDR,CTUDR,UDR,AC,Caretaker,AC,Swimming Pool,Swimming Pool
RGUDR,CTUDR,UDR,Caretaker,Kitchen,Wifi,Caretaker,Caretaker
RGUDR,CTUDR,UDR,Kitchen,AC,Living Room,AC,AC
RGUDR,CTUDR,UDR,Living Room,Living Room,Kitchen,Kitchen,Kitchen
RGUDR,CTUDR,UDR,Balcony/Terrace,Wifi,Swimming Pool,Wifi,Wifi
RGUDR,CTUDR,UDR,Wifi,Balcony/Terrace,Parking,Balcony/Terrace,Balcony/Terrace
RGUDR,CTUDR,UDR,Lift/Elevator,Parking,Washing Machine,TV,TV
RGUDR,CTUDR,UDR,Swimming Pool,TV,Café,Washing Machine,Washing Machine
111,CTXRI,XRI,Kitchen,Caretaker,Wifi,Swimming Pool,Swimming Pool
111,CTXRI,XRI,Caretaker,Wifi,Bonfire,Caretaker,Caretaker
111,CTXRI,XRI,Living Room,Kitchen,Living Room,Wifi,Wifi
111,CTXRI,XRI,Balcony/Terrace,Living Room,Kitchen,Kitchen,Kitchen
111,CTXRI,XRI,TV,Balcony/Terrace,Parking,Bonfire/Fireplace,Bonfire/Fireplace
111,CTXRI,XRI,Wifi,Parking,Washing Machine,Balcony/Terrace,Balcony/Terrace
111,CTXRI,XRI,Parking,TV,Café,TV,TV
111,CTXRI,XRI,Lift/Elevator,Lawn,Indoor Games,Washing Machine,Washing Machine
111,CTXKO,XKO,Kitchen,Caretaker,Wifi,Swimming Pool,Swimming Pool
111,CTXKO,XKO,Caretaker,Wifi,Bonfire,Caretaker,Caretaker
111,CTXKO,XKO,Living Room,Kitchen,Living Room,Wifi,Wifi
111,CTXKO,XKO,Balcony/Terrace,Living Room,Kitchen,Kitchen,Kitchen
111,CTXKO,XKO,TV,Balcony/Terrace,Parking,Bonfire/Fireplace,Bonfire/Fireplace
111,CTXKO,XKO,Wifi,Parking,Washing Machine,Balcony/Terrace,Balcony/Terrace
111,CTXKO,XKO,Parking,TV,Café,TV,TV
111,CTXKO,XKO,Lift/Elevator,Lawn,Indoor Games,Washing Machine,Washing Machine
111,CTKUU,KUU,Kitchen,Caretaker,Wifi,Swimming Pool,Swimming Pool
111,CTKUU,KUU,Caretaker,Wifi,Bonfire,Caretaker,Caretaker
111,CTKUU,KUU,Living Room,Kitchen,Living Room,Wifi,Wifi
